bvid,has_stat_snapshot,has_comment_snapshot
BV1v8XKBrEw2,True,True
BV1v99VBwEYk,True,True
BV1v9DKBME6B,True,True
BV1vAX2BHE1s,True,True
BV1vAX2BHELp,True,True
BV1vAX2BHEaa,True,True
BV1vAX5BwE76,True,True
BV1vAX5BwEQV,True,True
BV1vAX5BwES1,True,True
BV1vAX5BwEW8,True,True
BV1vAX5BwEWJ,True,True
BV1vAX5BwEbY,True,True
BV1vAX5BwEx1,True,True
BV1vBXgBQESS,True,True
BV1vBXgBQEvP,True,True
BV1vBXgBQEzb,True,True
BV1vCXvBsEeJ,True,True
BV1vDQyBmEKS,True,True
BV1vDXzBKE71,True,True
BV1vDXzBKEfx,True,True
BV1vDXzBKEmh,True,True
BV1vDXzBKEwQ,True,True
BV1vE97B6E1L,True,True
BV1vEXRBVEXw,True,True
BV1vFSUBHErR,True,True
BV1vFX2BWE4Z,True,True
BV1vFXyB1Ep9,True,True
BV1vG9sBfEW6,True,True
BV1vGXXBzE64,True,True
BV1vHXVBcEDS,True,True
BV1vHXsBfEMp,True,True
BV1vJDYB5Etv,True,True
BV1vJXoBnEdv,True,True
BV1vKX5BFE6v,True,True
BV1vKX5BFE9A,True,True
BV1vKX5BFEGj,True,True
BV1vKX5BFEGm,True,True
BV1vKX5BFEHD,True,True
BV1vKX5BFEMZ,True,True
BV1vKX5BFEQS,True,True
BV1vKX5BFEWi,True,True
BV1vKX5BFEYc,True,True
BV1vKX5BFEx4,True,True
BV1vKX5BFExe,True,True
BV1vKX5BcEBA,True,True
BV1vLXXBqEsd,True,True
BV1vMXDBeEHw,True,True
BV1vMXDBeETV,True,True
BV1vMXUBdE55,True,True
BV1vMXUBdEVK,True,True
BV1vN9uBJEqo,True,True
BV1vNDeByEEZ,True,True
BV1vNXUBZE73,True,True
BV1vNXjBBECd,True,True
BV1vNXjBBEQd,True,True
BV1vNXjBBEoK,True,True
BV1vNXxB8EPa,True,True
BV1vPDeBLEPt,True,True
BV1vPX5BhEND,True,True
BV1vPX5BhEQu,True,True
BV1vPXUBbE2o,True,True
BV1vPXUBbE5N,True,True
BV1vPXUBbEa4,True,True
BV1vPXUBbExw,True,True
BV1vQ9pBsETW,True,True
BV1vQ9pBsEuF,True,True
BV1vQSXBwEWe,True,True
BV1vQXTBLE3W,True,True
BV1vQXTBLE44,True,True
BV1vQXTBLE6t,True,True
BV1vQXTBLEGj,True,True
BV1vQXTBLEbB,True,True
BV1vQXTBLEsU,True,True
BV1vQXjBTEEC,True,True
BV1vQXjBTEKD,True,True
BV1vQXjBTEPA,True,True
BV1vQXjBTEjZ,True,True
BV1vQXjBTEsu,True,True
BV1vQXzBiEmW,True,True
BV1vQXzBvEx6,True,True
BV1vRXTBVEGm,True,True
BV1vRXTBVEPf,True,True
BV1vRXTBVEhu,True,True
BV1vRXrB3E9B,True,True
BV1vRXrB3EGv,True,True
BV1vSSXBYE4j,True,True
BV1vSXTB2EUM,True,True
BV1vSXjBBEr5,True,True
BV1vTX5B8E5x,True,True
BV1vTX5B8EgF,True,True
BV1vTX5BbEK7,True,True
BV1vTX5BbEKG,True,True
BV1vTX5BbEKj,True,True
BV1vTX5BbEKs,True,True
BV1vTX5BbEc2,True,True
BV1vTXUB4EEX,True,True
BV1vTXUB4EK2,True,True
BV1vTXUB4ERU,True,True
BV1vTXjBTE2f,True,True
BV1vTXjBTETE,True,True
