owner_mid,owner_name,owner_face,owner_sign,owner_gender,owner_level,owner_verified,owner_verified_title,owner_vip_type,owner_follower_count,owner_following_count,owner_video_count
255765246,萌宠大天地,https://i0.hdslb.com/bfs/face/b6463a8ad1be1e28509db4d3ecc052073ed787b8.jpg,喜欢看猎奇，动物，宠物关注窝[星星眼],保密,2,False,,1,2444,4,47
1450393592,天启-BIGBANG,https://i2.hdslb.com/bfs/face/71fd0baf76b1250c25b1b324b5d42e94f4a7e36b.jpg,,保密,4,False,,0,4442,4945,19
3546378552740758,俺是农场主,https://i1.hdslb.com/bfs/face/eb15ece42e4ecfbb5d7019eca7a49ea96ac472c4.jpg,"立志养各种小动物的农场主理人，欢迎云领养
小鸡不会进锅的
放心追更
偶尔发一下气人的小猫咪",保密,3,False,,0,1670,2,256
356278679,海克斯死神飞弹,https://i2.hdslb.com/bfs/face/f826b3369e1be9babb6d19343a04fb5a2a5a1687.jpg,boom,男,6,False,,1,11431,88,416
104191340,嘬嘬大队大队长,https://i2.hdslb.com/bfs/face/03a04578ec6378306d631c29a6bad6eb0a8ff49a.jpg,"嘬嘬大队大队长！
串串简州小猫（已绝育版）
已经一岁半啦
嘬是别人家里领养来的 有隐形折耳基因（父母和兄弟都没有）
请大家抵制折耳基因！",男,6,False,,2,57572,114,287
3494377812920345,系嚣士啊,https://i2.hdslb.com/bfs/face/bcb480918aab2dbdbbc0130feca6a42ee46ec15e.jpg,"名字：嚣士。    性别：男。     种族：中华田园犬。    出生：2023、1。     工作单位：网上兼职
商务合作：X-S-310",保密,6,False,,0,607352,8,552
3706939619936678,毛孩子避坑日记,https://i2.hdslb.com/bfs/face/601a5b59f1b33a4e62f102458e88fe1bc88b30b5.jpg,"养过20只宠物
分享实用养宠知识和喂养经验
关注就对了 保证你不踩坑",保密,2,False,,0,10917,5,28
763231,迷你猫张嘟嘟,https://i1.hdslb.com/bfs/face/90c55592de640f4a71371c816cd910a1ca656fee.jpg,"其他平台也叫@迷你猫张嘟嘟。合作minicat7788
广东人在四川。客家人，粤语是从小看TVB耳濡目染学的。",保密,6,True,bilibili 知名萌宠UP主,2,444657,286,1584
63455312,倾城公子小白,https://i2.hdslb.com/bfs/face/60c44fc70996e7b5ba162b32cfa3ab13710adb13.jpg,小白，传说中的小白,保密,5,False,,0,1757,8,2712
431148083,汪汪咪子记,https://i2.hdslb.com/bfs/face/87a082fb77e366509bc126b380e66fdde27f1397.jpg,谢谢大家的喜欢,保密,6,False,,1,29870,578,200
53453088,全是狗狗,https://i0.hdslb.com/bfs/face/563a796d4087dbceff8e1f28fd508fa1b0677c0a.jpg,,保密,6,False,,1,442044,6,1807
474493516,糗糗庄园,https://i1.hdslb.com/bfs/face/b4a143d9190eeec3a9fc3f5602eca2de7ec7d800.jpg,3000多只猫咪幸福生活的庄园，努力在每一座城市都建起猫咪桃花源，用以商养善的方式可持续发展，主页小店欢迎按需挑选。,保密,6,False,,1,444212,17,1369
697167043,南枫织我意,https://i1.hdslb.com/bfs/face/f6b981497d08449419c6269c2ed99d943a30d036.jpg,（宠物小院）收养了几十只狗狗和猫猫。,女,6,False,,2,48705,179,523
3546876607466242,酒酿小猫鱼丸,https://i1.hdslb.com/bfs/face/0461ba706c4da95affdd5cc675e99175e49d229b.jpg,欢迎投稿邮箱～,保密,6,False,,0,48813,5,222
1193406925,菜汪钻石,https://i1.hdslb.com/bfs/face/88e4b2f1172bae75b8d309c972c52ed5ebafd105.jpg,"钻石妈@盖盖很皮
菜汪名字叫钻石  8岁了  
小公主一枚  体重60斤
视频都是饭前饭后的零食  有好好吃饭
全站同名",男,6,False,,0,64990,11,379
25215790,阿孟的养猫日记,https://i1.hdslb.com/bfs/face/228c25c349ed42a1297b5ddef9ff0122b0d37270.jpg,"猫咪｜旅行｜美食
分享我和猫咪的治愈日常
喜欢就关注吧",男,6,True,bilibili 知名萌宠UP主,2,138154,86,2634
509799029,济南慈悲护生园,https://i2.hdslb.com/bfs/face/4653b5cc4850b801d07e255d6ba48a02ffe2a231.jpg,基地现在有3000多只狗狗一百多只猫咪，我是董淑贞，66岁阿姨，基地地址都是对外公开的，随时欢迎大家考察。,保密,6,False,,0,14698,43,295
240340248,摩卡是颗小松果,https://i0.hdslb.com/bfs/face/8d18b6ed24acbd18dad10ab9a4de8bf4f5d4c7ab.jpg,"盗视者频必举报！追究其法律责任
吸猫圣体，出门捡猫猫，不出门被猫猫捡 /•᷅•᷄\୭
评论区都是猫猫在回复，四只爪爪打字比我快，喵喵
",女,2,False,,0,1156,4,30
3648244,黄喵童话,https://i1.hdslb.com/bfs/face/287fa10814141576c1420688637fe365d7899e3c.jpg,感谢小刀盾的云上父母关注，赛博“刀盾”饲养员，各种刀盾我都有，希望我“童话世界”里面的小刀盾可以治愈你们。作品均为原创，各平台同名搬运必究。,保密,6,False,,2,43932,144,62
3537111508585246,瑶清羽yu,https://i1.hdslb.com/bfs/face/cb70922de5d0606b8e437250519d75b5788f7561.jpg,,保密,3,False,,0,791,10,2
3546387209783703,百科大学堂,https://i0.hdslb.com/bfs/face/4c8bb665cab781f7f3ee5455e8e4d01228c78ac3.jpg,"认真科普、每日一更。
感谢平台、感谢关注。",女,5,False,,0,17333,9,136
590842316,小陈在农村,https://i2.hdslb.com/bfs/face/a681c1fe2f691d0404ae63d975f457d83c4eeb6b.jpg,陈教授，著名蚂蟥生命学家，代表著作《蟑螂与蚂蟥嫁接外科手术》《清道夫菊花缝合技法》《蚂蟥改造手术》《清道夫造鞋》《蚂蟥手套》《蚂蟥弹工》,男,6,True,bilibili 知名UP主,2,1275958,48,1100
3493110703196446,哈基狐_Nick,https://i1.hdslb.com/bfs/face/eabda7f8e5d7bace4ea468843435824e697d6c40.jpg,三个名称：洛龙、兔狐、蜻蜓，是位平凡的动画+古今动物+恐龙+影视+游戏+体育爱好者,男,5,False,,1,1920,112,140
