bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1Y4QtBFEet,,,,author_expand,owner:3546902503098598,2026-04-13T10:17:02.715088+00:00,2026-04-13T10:17:02.715088+00:00,3546902503098598,21,2026-04-13T06:21:48+00:00,61,356.0,owner:3546902503098598,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1V4QtBFEBo,,,,author_expand,owner:401266391,2026-04-13T10:39:35.707256+00:00,2026-04-13T10:39:35.707256+00:00,401266391,199,2026-04-13T06:21:34+00:00,14,627.0,owner:401266391,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1G4QtBFEHA,,,,author_expand,owner:1458436838,2026-04-13T10:39:47.492585+00:00,2026-04-13T10:39:47.492585+00:00,1458436838,231,2026-04-13T06:21:11+00:00,783,153.0,owner:1458436838,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1eWQtBwEV1,1018.0,体育运动,86.0,rankboard,rankboard:rid=1018:rank=86,2026-04-14T11:46:09.303701+00:00,,478782036,235,2026-04-13T06:16:32+00:00,134,74483.0,"rankboard:rid=1018:rank=86,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1HMQtBGEka,,,,author_expand,owner:2137589551,2026-04-13T10:21:28.157814+00:00,2026-04-13T10:21:28.157814+00:00,2137589551,207,2026-04-13T06:15:00+00:00,364,19858.0,owner:2137589551,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV15WQtBwE2t,,,,author_expand,owner:4351252,2026-04-13T10:33:36.282218+00:00,2026-04-13T10:33:36.282218+00:00,4351252,205,2026-04-13T06:13:09+00:00,30,25.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1VsQtBhEAh,,,,author_expand,owner:416220600,2026-04-13T11:06:06.470201+00:00,2026-04-13T11:06:06.470201+00:00,416220600,19,2026-04-13T06:10:04+00:00,11,155.0,owner:416220600,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1HwQxBBE6K,,,,author_expand,owner:652239032,2026-04-13T09:43:26.358960+00:00,2026-04-13T09:43:26.358960+00:00,652239032,17,2026-04-13T06:05:00+00:00,43,5200.0,owner:652239032,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1JuQtBrEDL,,,,author_expand,owner:1390829728,2026-04-13T10:26:05.306424+00:00,2026-04-13T10:26:05.306424+00:00,1390829728,205,2026-04-13T06:02:31+00:00,43,300.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1HuQtBrEu3,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T06:01:58+00:00,12,1518.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1HuQtBrEh4,,,,author_expand,owner:4351252,2026-04-13T10:33:36.282218+00:00,2026-04-13T10:33:36.282218+00:00,4351252,205,2026-04-13T06:01:33+00:00,37,1280.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1hkQsBHEkm,,,,author_expand,owner:3546617862949729,2026-04-13T10:26:24.959489+00:00,2026-04-13T10:26:24.959489+00:00,3546617862949729,195,2026-04-13T06:00:00+00:00,279155,684.0,owner:3546617862949729,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1H7DxBeEYB,,,,author_expand,owner:474980480,2026-04-13T10:53:01.236550+00:00,2026-04-13T10:53:01.236550+00:00,474980480,242,2026-04-13T06:00:00+00:00,67,405.0,owner:474980480,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1baD9BZEdg,1014.0,时尚美妆,72.0,rankboard,rankboard:rid=1014:rank=72,2026-04-14T11:46:07.567009+00:00,,152499087,157,2026-04-13T06:00:00+00:00,1326,38900.0,"rankboard:rid=1014:rank=72,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1CNQtB5Et1,,,,author_expand,owner:106086780,2026-04-13T10:14:18.284018+00:00,2026-04-13T10:14:18.284018+00:00,106086780,207,2026-04-13T05:55:59+00:00,31,1246.0,owner:106086780,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1csDXByEzA,,,,author_expand,owner:1268631936,2026-04-13T10:35:55.017991+00:00,2026-04-13T10:35:55.017991+00:00,1268631936,168,2026-04-13T05:53:00+00:00,35964,617.0,owner:1268631936,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1WKQtByEAN,,,,author_expand,owner:393694091,2026-04-13T10:41:54.924968+00:00,2026-04-13T10:41:54.924968+00:00,393694091,154,2026-04-13T05:51:05+00:00,52,141.0,owner:393694091,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1E5QtBMEDt,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T05:47:55+00:00,9,1256.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1fLQtBqEPY,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T05:44:46+00:00,28,980.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1J3QtBgEcs,,,,author_expand,owner:1497463202,2026-04-13T09:31:31.619938+00:00,2026-04-13T09:31:31.619938+00:00,1497463202,208,2026-04-13T05:42:43+00:00,253,1588.0,owner:1497463202,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1n3QtBgEE4,,,,author_expand,owner:3494368824527377,2026-04-13T11:03:17.309126+00:00,2026-04-13T11:03:17.309126+00:00,3494368824527377,171,2026-04-13T05:40:42+00:00,287,2220.0,owner:3494368824527377,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1JGQtBzEuF,,,,author_expand,owner:4351252,2026-04-13T10:33:36.282218+00:00,2026-04-13T10:33:36.282218+00:00,4351252,205,2026-04-13T05:37:09+00:00,19,34.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1qbQsBcErY,,,,author_expand,owner:1390829728,2026-04-13T10:26:05.306424+00:00,2026-04-13T10:26:05.306424+00:00,1390829728,205,2026-04-13T05:34:22+00:00,21,118.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1FbQsBwEPJ,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T05:32:51+00:00,24,1148.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1ZbQsBcEkk,0.0,全站,74.0,rankboard,rankboard:rid=0:rank=74,2026-04-14T11:45:39.156567+00:00,,3966122,216,2026-04-13T05:32:50+00:00,214,1227686.0,"rankboard:rid=0:rank=74,https://www.bilibili.com/v/popular/rank/all",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1zbQsBcEqS,,,,author_expand,owner:513395871,2026-04-13T10:29:20.991867+00:00,2026-04-13T10:29:20.991867+00:00,513395871,205,2026-04-13T05:31:43+00:00,10,144.0,owner:513395871,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1JbQsBwE8c,1002.0,娱乐,30.0,rankboard,rankboard:rid=1002:rank=30,2026-04-14T11:45:54.199513+00:00,,3690999276636773,21,2026-04-13T05:31:27+00:00,438,17876.0,"rankboard:rid=1002:rank=30,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1zbQsBcE8P,,,,author_expand,owner:513395871,2026-04-13T10:29:20.991867+00:00,2026-04-13T10:29:20.991867+00:00,513395871,205,2026-04-13T05:31:24+00:00,15,881.0,owner:513395871,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1zbQsBcERw,,,,author_expand,owner:393694091,2026-04-13T10:41:54.924968+00:00,2026-04-13T10:41:54.924968+00:00,393694091,154,2026-04-13T05:31:20+00:00,17,309.0,owner:393694091,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1BbQsBcEj5,1010.0,知识,34.0,rankboard,rankboard:rid=1010:rank=34,2026-04-14T11:45:55.991897+00:00,,302197524,183,2026-04-13T05:29:34+00:00,67,970009.0,"rankboard:rid=1010:rank=34,https://www.bilibili.com/v/popular/rank/knowledge",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1E8QsBhEtL,,,,author_expand,owner:513395871,2026-04-13T10:29:20.991867+00:00,2026-04-13T10:29:20.991867+00:00,513395871,205,2026-04-13T05:29:18+00:00,21,266.0,owner:513395871,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1B8QsB8E7j,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T05:28:39+00:00,31,1163.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV16xQsBAEsn,,,,author_expand,owner:569784264,2026-04-13T10:42:24.675953+00:00,2026-04-13T10:42:24.675953+00:00,569784264,71,2026-04-13T05:24:09+00:00,680,142.0,owner:569784264,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV16xQsBAEDD,,,,author_expand,owner:106086780,2026-04-13T10:14:18.284018+00:00,2026-04-13T10:14:18.284018+00:00,106086780,207,2026-04-13T05:20:52+00:00,60,8216.0,owner:106086780,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1z4QsBaEhK,,,,author_expand,owner:686127,2026-04-13T09:09:16.971613+00:00,2026-04-13T09:09:16.971613+00:00,686127,17,2026-04-13T05:18:21+00:00,11070,59452.0,owner:686127,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1oeQsBoEYP,,,,hot,hot:pn=4:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,22900368,162,2026-04-13T05:18:21+00:00,114,1113296.0,hot:pn=4:ps=20,full_site_floorings/daily_hot-20260414_192908.csv,full_site_floorings,1001
BV1oeQsBoEpj,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T05:15:28+00:00,40,1997.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1iiQsBxEck,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T05:11:33+00:00,9,871.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1eiQsBxEZk,,,,author_expand,owner:2109776,2026-04-13T10:01:17.313487+00:00,2026-04-13T10:01:17.313487+00:00,3493139945884106,172,2026-04-13T05:10:16+00:00,490,42317.0,owner:2109776,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1iiQsBxE34,,,,author_expand,owner:106086780,2026-04-13T10:14:18.284018+00:00,2026-04-13T10:14:18.284018+00:00,106086780,21,2026-04-13T05:09:10+00:00,36,720.0,owner:106086780,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1RiQsBxERo,,,,author_expand,owner:3632317247523083,2026-04-13T10:43:47.867151+00:00,2026-04-13T10:43:47.867151+00:00,3632317247523083,76,2026-04-13T05:07:51+00:00,28,213.0,owner:3632317247523083,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1BhQsBfEFX,1018.0,体育运动,14.0,rankboard,rankboard:rid=1018:rank=14,2026-04-14T11:46:09.303701+00:00,,668729267,138,2026-04-13T05:07:47+00:00,88,404958.0,"rankboard:rid=1018:rank=14,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1qYQsBtEBC,1020.0,美食,94.0,rankboard,rankboard:rid=1020:rank=94,2026-04-14T11:46:02.632450+00:00,,3493298886936758,212,2026-04-13T05:05:44+00:00,165,200427.0,"rankboard:rid=1020:rank=94,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1jVQxBcECM,,,,author_expand,owner:652239032,2026-04-13T09:43:26.358960+00:00,2026-04-13T09:43:26.358960+00:00,652239032,17,2026-04-13T05:05:00+00:00,31,15808.0,owner:652239032,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1dYQsBtEAu,1020.0,美食,12.0,rankboard,rankboard:rid=1020:rank=12,2026-04-14T11:46:02.632450+00:00,,436368347,86,2026-04-13T05:01:22+00:00,261,977652.0,"rankboard:rid=1020:rank=12,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV1UnD1BPEWe,,,,author_expand,owner:106086780,2026-04-13T10:14:18.284018+00:00,2026-04-13T10:14:18.284018+00:00,106086780,207,2026-04-13T05:00:00+00:00,121,549.0,owner:106086780,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1y7QsBBEYc,,,,author_expand,owner:1794194767,2026-04-13T10:36:05.324177+00:00,2026-04-13T10:36:05.324177+00:00,1794194767,137,2026-04-13T04:54:36+00:00,23,533.0,owner:1794194767,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1CJQsBMEfV,,,,author_expand,owner:2137589551,2026-04-13T10:21:28.157814+00:00,2026-04-13T10:21:28.157814+00:00,2137589551,207,2026-04-13T04:50:00+00:00,390,25338.0,owner:2137589551,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV11VQsB3Eqo,1008.0,游戏,78.0,rankboard,rankboard:rid=1008:rank=78,2026-04-14T11:45:43.016928+00:00,,3546964505397649,65,2026-04-13T04:49:41+00:00,376,1086388.0,"rankboard:rid=1008:rank=78,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1000
BV12VQsB3E4V,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T04:48:59+00:00,33,3134.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1KVQsBGER7,,,,author_expand,owner:4351252,2026-04-13T10:33:36.282218+00:00,2026-04-13T10:33:36.282218+00:00,4351252,205,2026-04-13T04:48:16+00:00,31,73.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1K5QsBrEQi,,,,author_expand,owner:3632317247523083,2026-04-13T10:43:47.867151+00:00,2026-04-13T10:43:47.867151+00:00,3632317247523083,76,2026-04-13T04:44:52+00:00,27,126.0,owner:3632317247523083,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1PJQsBMEpJ,,,,author_expand,owner:4351252,2026-04-13T10:33:36.282218+00:00,2026-04-13T10:33:36.282218+00:00,4351252,205,2026-04-13T04:42:47+00:00,31,41.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1rWQsBeEzy,,,,author_expand,owner:522653994,2026-04-13T09:49:51.931941+00:00,2026-04-13T09:49:51.931941+00:00,522653994,205,2026-04-13T04:34:14+00:00,18,1517.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260413_165543/videolist_part_1.csv,uid_expansions,0
BV1zeDRBLEBx,,,,hot,hot:pn=18:ps=20,2026-04-13T12:56:16.648531+00:00,2026-04-13T12:56:16.648531+00:00,3546694058773380,29,2026-04-13T04:30:00+00:00,274,54859.0,hot:pn=18:ps=20,full_site_floorings/daily_hot-20260413_205616.csv,full_site_floorings,1003
