bvid,has_stat_snapshot,has_comment_snapshot
BV1VSXUBZE5N,True,True
BV1VSXZBSE4F,True,True
BV1VSXZBSEEf,True,True
BV1VSXZBSEND,True,True
BV1VSXZBSEtm,True,True
BV1VSXqBFEtT,True,True
BV1VTDFBjEvJ,True,True
BV1VTDeB5ESY,True,True
BV1VTDpByEqQ,True,True
BV1VTQ7BAEWS,True,True
BV1VTQ7BAEi5,True,True
BV1VTX5BtEbm,True,True
BV1VTXZBEE8Y,True,True
BV1VU9nBUENP,True,True
BV1VU9nBUEcm,True,True
BV1VU9nBUEfR,True,True
BV1VUDeBLE48,True,True
BV1VUDeBLEZW,True,True
BV1VUDeBLEov,True,True
BV1VUX2BDEsY,True,True
BV1VUX5BhEK5,True,True
BV1VUXUBbEe7,True,True
BV1VUXUBbEsP,True,True
BV1VUwLzXEEi,True,True
BV1VVDLB4EgA,True,True
BV1VVDSBsE6P,True,True
BV1VVDmB2EcK,True,True
BV1VVQYB5Eqd,True,True
BV1VVXDBwEuy,True,True
BV1VVXNBeE5W,True,True
BV1VVXUBWEPV,True,True
BV1VVXjBPEBJ,True,True
BV1VW9MB7E2S,True,True
BV1VWD9BPEKz,True,True
BV1VWD9BPEZs,True,True
BV1VWDkBvEre,True,True
BV1VWQxBsEGy,True,True
BV1VWSSB9EBw,True,True
BV1VWSfB1EZ4,True,True
BV1VWXCB3ENv,True,True
BV1VWXVBfE1Z,True,True
BV1VX9FBxECL,True,True
BV1VX9pB9EXx,True,True
BV1VXQgBEEXb,True,True
BV1VXXDBeE7w,True,True
BV1VXXUBdE5D,True,True
BV1VXXUBdETW,True,True
BV1VXXUBdEsU,True,True
BV1VXXjBiECM,True,True
BV1VXXjBiEVG,True,True
BV1VXXjBiEyC,True,True
BV1VYDxBWEwk,True,True
BV1VYQFBHE11,True,True
BV1VYQFBHEpQ,True,True
BV1VYQFBpEHA,True,True
BV1VYSQBxEAw,True,True
BV1VYX6BqEaD,True,True
BV1VYXBBfEhf,True,True
BV1VYXKBzEJR,True,True
BV1VYXKBzEMH,True,True
BV1VYXKBzEPs,True,True
BV1VYXKBzERD,True,True
BV1VYXKBzEpz,True,True
BV1VYXSBbERh,True,True
BV1VZ9PBBEm8,True,True
BV1VZD7BNExs,True,True
BV1VZDKBvEo7,True,True
BV1VZDKBvEwQ,True,True
BV1VZDLB4Euf,True,True
BV1VZXDBcEK1,True,True
BV1VZXrBgEWm,True,True
BV1VaDWBjEKg,True,True
BV1VaDZB5E8M,True,True
BV1VaXKBgEZf,True,True
BV1VaXLBwEkk,True,True
BV1VaXPBaE48,True,True
BV1VaXPBaExh,True,True
BV1VbDWBEEor,True,True
BV1VbSSBnE55,True,True
BV1VbSSBnEgg,True,True
BV1VbSSBnErL,True,True
BV1VbXPBeEwi,True,True
BV1VbXPBeExa,True,True
BV1VbXVBxEYf,True,True
BV1VbXiB9Ekn,True,True
BV1VbXiB9EpY,True,True
BV1Vc9TB5EYX,True,True
BV1VcDrBhEnP,True,True
BV1VcDrBhEuh,True,True
BV1VcSZBkEGm,True,True
BV1VcXHB2Ed5,True,True
BV1VcXHB2Emr,True,True
BV1VdXDBaEMg,True,True
BV1VdXDBaEbg,True,True
BV1VeQFBDEaA,True,True
BV1VeS9BYEPG,True,True
BV1VeXMB2Ef5,True,True
BV1VeXbBME1x,True,True
BV1Vf9LBqEhp,True,True
BV1VfSRBKEEV,True,True
