bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1pZDDBVE7M,1004.0,舞蹈,65.0,rankboard,rankboard:rid=1004:rank=65,2026-04-15T13:08:48.746234+00:00,,23848335,172,2026-04-12T09:37:07+00:00,940,78368.0,"rankboard:rid=1004:rank=65,https://www.bilibili.com/v/popular/rank/dance",full_site_floorings/rankboard-20260415_210836.csv,full_site_floorings,1000
BV1sRDDBLEGj,,,,author_expand,owner:271970833,2026-04-12T11:13:48.955600+00:00,2026-04-12T11:13:48.955600+00:00,271970833,197,2026-04-12T09:35:39+00:00,0,24.0,owner:271970833,uid_expansions/uid_expansion_20260325_20260412_182416/videolist_part_1.csv,uid_expansions,0
BV1WfDDBkEwD,,,,author_expand,owner:3494368824527377,2026-04-12T12:27:58.114867+00:00,2026-04-12T12:27:58.114867+00:00,3494368824527377,171,2026-04-12T09:33:39+00:00,197,246.0,owner:3494368824527377,uid_expansions/uid_expansion_20260325_20260412_182416/videolist_part_1.csv,uid_expansions,0
BV1kfDDBkEZw,,,,author_expand,owner:20165629,2026-04-12T10:30:36.679621+00:00,2026-04-12T10:30:36.679621+00:00,20165629,232,2026-04-12T09:31:21+00:00,180,13321.0,owner:20165629,uid_expansions/uid_expansion_20260325_20260412_182416/videolist_part_1.csv,uid_expansions,0
BV16PDQBuE7B,1018.0,体育运动,83.0,rankboard,rankboard:rid=1018:rank=83,2026-04-14T11:46:09.303701+00:00,,11582322,249,2026-04-12T09:30:08+00:00,426,59969.0,"rankboard:rid=1018:rank=83,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260414_194539.csv,full_site_floorings,1002
BV1kwDQB6EMe,,,,author_expand,owner:942755,2026-04-12T11:03:56.944735+00:00,2026-04-12T11:03:56.944735+00:00,942755,182,2026-04-12T09:30:00+00:00,5682,39284.0,owner:942755,uid_expansions/uid_expansion_20260325_20260412_182416/videolist_part_1.csv,uid_expansions,0
BV1a8DyBMEiY,,,,author_expand,owner:32289484,2026-04-12T11:47:28.034980+00:00,2026-04-12T11:47:28.034980+00:00,32289484,95,2026-04-12T09:30:00+00:00,429,36401.0,owner:32289484,uid_expansions/uid_expansion_20260325_20260412_182416/videolist_part_1.csv,uid_expansions,0
BV1s9QwB1EUu,1012.0,科技数码,82.0,rankboard,rankboard:rid=1012:rank=82,2026-04-15T13:08:58.001373+00:00,,3546645224491115,95,2026-04-12T09:30:00+00:00,617,114124.0,"rankboard:rid=1012:rank=82,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260415_210836.csv,full_site_floorings,1000
BV18VDCBcEYR,1013.0,汽车,89.0,rankboard,rankboard:rid=1013:rank=89,2026-04-15T13:09:02.951938+00:00,,1830236178,176,2026-04-12T09:30:00+00:00,359,85665.0,"rankboard:rid=1013:rank=89,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260415_210836.csv,full_site_floorings,1000
BV1UNDDBUEEL,,,,hot,hot:pn=15:ps=20,2026-04-15T12:34:06.843321+00:00,2026-04-15T12:34:06.843321+00:00,36620532,85,2026-04-12T09:30:00+00:00,108,982593.0,hot:pn=15:ps=20,full_site_floorings/daily_hot-20260415_203406.csv,full_site_floorings,1001
