bvid,has_stat_snapshot,has_comment_snapshot
BV1ud9EBKEuL,True,True
BV1udDeB6EEf,True,True
BV1udDeB6ENo,True,True
BV1udDeB6ETM,True,True
BV1udDeB6Et2,True,True
BV1udDeB6EwR,True,True
BV1udX5BdEGT,True,True
BV1udX5BdESM,True,True
BV1udX5BdEbq,True,True
BV1udXZB1EUh,True,True
BV1ue9MB6E3F,True,True
BV1ueX3B5ELK,True,True
BV1ueX3B5EcF,True,True
BV1ufDeBBEHf,True,True
BV1ufDeBBEJZ,True,True
BV1ufX5B9EK6,True,True
BV1ufX5B9ELP,True,True
BV1ufX5B9ELy,True,True
BV1ufX5B9EMG,True,True
BV1ufX5B9EWJ,True,True
BV1ufX5B9Ecp,True,True
BV1ufX5B9Ekq,True,True
BV1ufX5B9Ew6,True,True
BV1ufXUBQE66,True,True
BV1ufXUBQEKb,True,True
BV1ufXUBQEMR,True,True
BV1ufXUBQEQC,True,True
BV1ufXUBQEdj,True,True
BV1ugDCBAE2h,True,True
BV1ugDCBAEdt,True,True
BV1ugDrBsEss,True,True
BV1ugSZBiEcv,True,True
BV1uhD9BbEwD,True,True
BV1uhQtB4EL1,True,True
BV1uhQxBSEdf,True,True
BV1uhXCBiEit,True,True
BV1uhXCBiEzB,True,True
BV1ui9MBuE8c,True,True
BV1uiDWBCE4E,True,True
BV1uiXPBfE3f,True,True
BV1uiXPBfEBd,True,True
BV1uiXPBfED8,True,True
BV1uiXPBfEnW,True,True
BV1uiXPBfExf,True,True
BV1uiXVBDEZT,True,True
BV1uiXmBUEGn,True,True
BV1uiXmBUETX,True,True
BV1uiXmBUEW3,True,True
BV1ujX5BWEdB,True,True
BV1ujX5BWEfE,True,True
BV1ujXZBGEsv,True,True
BV1ujXqBQEvK,True,True
BV1uk9WBnEBf,True,True
BV1ukDNBoEHK,True,True
BV1ukQFBLEGo,True,True
BV1ukQuBTEGL,True,True
BV1ukX6BhEWW,True,True
BV1ukX6BhEvb,True,True
BV1ukXKBYE2K,True,True
BV1ukXKBYEF2,True,True
BV1ukXKBYEP9,True,True
BV1ukXKBYEa6,True,True
BV1ukXKBYEkM,True,True
BV1umDTBwEGs,True,True
BV1umQwBSE85,True,True
BV1umXgB1EDK,True,True
BV1umXgB1EQM,True,True
BV1umXgB1Ezz,True,True
BV1un9FB7EiJ,True,True
BV1unXNBfEnv,True,True
BV1uoX2BLE3H,True,True
BV1uoXqBsE1Z,True,True
BV1uoXxBREWt,True,True
BV1up9wB9ERQ,True,True
BV1upDLBnEUE,True,True
BV1upDSBEE7s,True,True
BV1upX8BeER7,True,True
BV1upXzBxE3i,True,True
BV1uq9gBjEiu,True,True
BV1uqDvBkETa,True,True
BV1uqSQBXER9,True,True
BV1uqXLBZEDt,True,True
BV1uqXLBZETK,True,True
BV1uqXLBZEjP,True,True
BV1urD5BJE5a,True,True
BV1urDZBMELh,True,True
BV1urXBBWEDF,True,True
BV1urXKBPE23,True,True
BV1urXKBPELX,True,True
BV1urXKBPEeK,True,True
BV1urXKBPEjQ,True,True
BV1urXKBPEmL,True,True
BV1urXKBPEyH,True,True
BV1us9PBcEd7,True,True
BV1usDQBRE7i,True,True
BV1usQvByEJS,True,True
BV1usX8BAEGn,True,True
BV1utD7BRETe,True,True
BV1utDJBYENm,True,True
BV1utQxBDE1q,True,True
