bvid,has_stat_snapshot,has_comment_snapshot
BV1gHX8BNEKX,True,True
BV1gHXDBdEpg,True,True
BV1gJDmBkEM7,True,True
BV1gJXTBME1M,True,True
BV1gJXTBMEYR,True,True
BV1gJXzBtEqB,True,True
BV1gKDTBFEJa,True,True
BV1gKDXBoEkL,True,True
BV1gKQ4BRE56,True,True
BV1gKQVB7EgA,True,True
BV1gKQiB2Exu,True,True
BV1gLDVB7E3k,True,True
BV1gLXxBXEqA,True,True
BV1gLXxBXEzD,True,True
BV1gMDCBeE86,True,True
BV1gMDCBeERP,True,True
BV1gMDCBeESR,True,True
BV1gMDCBeEST,True,True
BV1gMDCBeEXb,True,True
BV1gMDnBKE4A,True,True
BV1gMDrBdEPp,True,True
BV1gMDuBiERd,True,True
BV1gMQ4BWE77,True,True
BV1gMQ4BWEtE,True,True
BV1gMQiBLEKf,True,True
BV1gMXYBrEbx,True,True
BV1gMXYBrEqs,True,True
BV1gN9jBYEZU,True,True
BV1gNDDBSEJ4,True,True
BV1gNDEB8E5b,True,True
BV1gNDEB8EX5,True,True
BV1gNDXBtEyJ,True,True
BV1gP9NBeEBT,True,True
BV1gPDDBnERa,True,True
BV1gPDTBhErw,True,True
BV1gPDjBpEFN,True,True
BV1gPDjBpENs,True,True
BV1gPDrBbE1e,True,True
BV1gPDrBbEUm,True,True
BV1gQDCBNEkP,True,True
BV1gQDaBvEp7,True,True
BV1gQDaBvExt,True,True
BV1gQDeBVEkX,True,True
BV1gQDeBVEyf,True,True
BV1gQDuBTEBb,True,True
BV1gQQ6BhEYs,True,True
BV1gQQ7BAEDc,True,True
BV1gQQKBYE76,True,True
BV1gQSZBqEMy,True,True
BV1gQXGBDEzw,True,True
BV1gQXYBGEcV,True,True
BV1gRDFBVE6e,True,True
BV1gRDFBVEhT,True,True
BV1gRDFBVEk7,True,True
BV1gRDVBDEQ4,True,True
BV1gRDeB3EGg,True,True
BV1gRDeB3EJ8,True,True
BV1gRDeB3EfF,True,True
BV1gRDeB3Eos,True,True
BV1gRX5B4E3e,True,True
BV1gRX5B4E5S,True,True
BV1gRX5B4EsQ,True,True
BV1gRXABZEf2,True,True
BV1gRXUBsEQk,True,True
BV1gRXUBsEXL,True,True
BV1gS9jBaE8z,True,True
BV1gSDXBtEth,True,True
BV1gSXgB5E4K,True,True
BV1gSXgB5EGa,True,True
BV1gT9NBaE4K,True,True
BV1gTDrB4EZo,True,True
BV1gTDrB4Eae,True,True
BV1gTDrB4Eqp,True,True
BV1gTXYBGEWe,True,True
BV1gTXkBPEYW,True,True
BV1gU9jBAECR,True,True
BV1gU9jBAEai,True,True
BV1gUDTBhEVz,True,True
BV1gUDuBuEwM,True,True
BV1gUSZB6EHz,True,True
BV1gUXGBXES9,True,True
BV1gUXGBXEU8,True,True
BV1gV9TBKEc8,True,True
BV1gVQbBZEg3,True,True
BV1gVSDBnECb,True,True
BV1gVSDBnEiD,True,True
BV1gVSUBkEnz,True,True
BV1gWDQBxER4,True,True
BV1gWQvBLEFY,True,True
BV1gWQxBWEDN,True,True
BV1gWQxBWESY,True,True
BV1gWXDBsEFv,True,True
BV1gX9EBMEeU,True,True
BV1gX9TBzE4V,True,True
BV1gXDCBeE1M,True,True
BV1gXDeBkEbC,True,True
BV1gXDeBkEh7,True,True
BV1gXQMB6EUQ,True,True
BV1gXX5BZE4D,True,True
BV1gXX5BZEeR,True,True
